tweets_Amsterdam__Netherlands_21,tweets_Amsterdam__Netherlands_28,foursquare_Amsterdam__Netherlands_01,foursquare_Amsterdam__Netherlands_09,foursquare_Amsterdam__Netherlands_13,foursquare_Amsterdam__Netherlands_24,foursquare_Amsterdam__Netherlands_31,foursquare_Amsterdam__Netherlands_32,foursquare_Amsterdam__Netherlands_44,foursquare_Amsterdam__Netherlands_10
PIZZA,VEGAN_DIET,FOOD_OPTIONS,ITALIAN_CUISINE,BREAKFAST,VALUE_FOR_MONEY,BRUNCH,JAPANESE_CUISINE,LOCATION,SERVICE
pizza,veggie,indonesian,pizza,breakfast,price,egg,sushi,view,staff
pineapple,vegetable,italian,italian,english_breakfast,reasonable_price,brunch,roll,canal,friendly
slice,vegan,dutch,crust,brunch,quality,salmon,fresh,beautiful,friendly_staff
pineapple_pizza,veggie_burger,indian,tiramisu,juice,decent,bread,sashimi,city,helpful
pizza_place,protein,asian,tartufo,croissant,portion,egg_benedict,japanese,view_canal,busy
slice_pizza,veggie_weight,chinese,lasagna,veggie,cheap,egg_greenwood,salmon,location,owner
delivery,delicious_vegetable,mexican,salami,morning,fair_price,juice,sushi_sashimi,roof,attentive
italian,vegetarian,turkish,margherita,bread,worth,toast,tempura,balcony,kind
pizza_delivery,organic,japanese,real_italian,bagel,affordable_price,egg_norwegian,rice,center,rude
beer,healthyfood,vegetarian,calzone,omelette,huge_portion,egg_royale,yakitori,river,polite
