tweets_Athens__Greece_20,tweets_Athens__Greece_27,foursquare_Athens__Greece_11,foursquare_Athens__Greece_12,foursquare_Athens__Greece_14,foursquare_Athens__Greece_15,foursquare_Athens__Greece_16,foursquare_Athens__Greece_22,foursquare_Athens__Greece_28,foursquare_Athens__Greece_29,foursquare_Athens__Greece_06
GREEK_CUISINE,FITNESS_WELLBEING,ITALIAN_CUISINE,LOCATION,FOOD_OPTIONS,SERVICE,JAPANESE_CUISINE,DRINKS,AMBIENCE,VALUE_FOR_MONEY,BURGER_FOOD
family_recipe,honey,pizza,view,falafel,friendly_staff,sushi,cocktail,music,price,burger
greek_yogurt,great_honey,italian,view_acropolis,kebab,polite,maki,summer,live_music,portion,cheese
delicious,milk,pasta,terrace,french,helpful,roll,margarita,decoration,high,mushroom
olive,bar_healthy,italian_style,rooftop,italian,kind,japanese,bar,jazz_music,decent,american
greekdiet,fitness_sugarfree,original_italian,night,thai,helpful_staff,salmon,spirit,rock,normal_price,bacon
traditional,snack_nutrition,mozzarella,fantastic,souvlakia,owner,sashimi,martini,music_loud,fair_price,buffalo
intriguing_spicy,sugarfree,prosciutto,piraeus,chinese,pleasant,rice,espresso,lounge,affordable_price,beef
yummy,breakfast_recipe,spicy,panoramic,mexican,cool,dragon,tequila,cosy,worth,turkey_burger
salad,raisin,risotto,balcony,seafood,warm,tempura,happy_hour,traditional,moderate_price,angus
feta,cognac_honey,pollo,scenic_view,traditional,efficient,tataki,liquor,funky,huge_portion,french_fry
