tweets_Brussels__Belgium_24,tweets_Brussels__Belgium_10,foursquare_Brussels__Belgium_01,foursquare_Brussels__Belgium_05,foursquare_Brussels__Belgium_06,foursquare_Brussels__Belgium_16,foursquare_Brussels__Belgium_19,foursquare_Brussels__Belgium_25,foursquare_Brussels__Belgium_36,foursquare_Brussels__Belgium_43
COFFEE,FOOD_CHAIN,FOOD_OPTIONS,BRUNCH,SERVICE,BEER,VALUE_FOR_MONEY,JAPANESE_CUISINE,BREAKFAST,ITALIAN_CUISINE
coffee,food,indian,brunch,service,beer,price,sushi,breakfast,italian
morning,chain,belgian,sunday,friendly,belgian,reasonable_price,japanese,bread,authentic_italian
morning_coffee,food_waste,chinese,sunday_brunch,terrible,selection,fair_price,sashimi,egg,real_italian
black,food_chain,authentic,buffet,poor,belgian_beer,portion,maki,special,resto
coffee_break,health,japanese,weekend,fast_service,beer_selection,decent,roll,juice,tiramisu
starbucks,safety,traditional,homemade,fantastic,local,high,sushi_sashimi,croissant,ravioli
coffee_shop,farmer,greek,cheese,rude,special,average,rice,waffle,antipasti
irish,organic,french,egg,impeccable,fantastic,affordable_price,tempura,bakery,mozzarella
chocolate,food_safety,vegetarian,juice,unfriendly,traditional,worth,spicy,english,truffle
cafe,agriculture,lebanese,weekend_brunch,efficient,local_beer,cheap,miso,pastry,scampi
