tweets_Lisbon__Portugal_34,tweets_Lisbon__Portugal_49,foursquare_Lisbon__Portugal_12,foursquare_Lisbon__Portugal_17,foursquare_Lisbon__Portugal_20,foursquare_Lisbon__Portugal_25,foursquare_Lisbon__Portugal_28,foursquare_Lisbon__Portugal_31,foursquare_Lisbon__Portugal_46,foursquare_Lisbon__Portugal_33
COFFEE,SAUCES,ITALIAN_CUISINE,VALUE_FOR_MONEY,WINE,PORTUGUESE_CUISINE,FOOD_OPTIONS,SEAFOOD,SANDWICHES,SERVICE
coffee,sauce,pizza,price,wine,traditional_portuguese,hamburger,seafood,sandwich,staff
pasteis,sushi,italian,reasonable_price,selection,typical_portuguese,chinese,prawn,salmon,friendly_staff
break_pasteis,tomato,pasta,fair_price,tapa,authentic_portuguese,mexican,rice,cheese,helpful
morning,juice,cheese,affordable_price,wine_list,pastry,italian,seafood_rice,tuna_sandwich,super
breakfast,mayonnaise,nutella,high,house_wine,tapa,bifana,lobster,steak_sandwich,kind
sugar,barbecue,truffle,decent,glass_wine,twist,indian,crab,prego,rude
coffee_shop,mustard,tiramisu,average,cheese,fado,francesinha,shrimp,clam,lovely_staff
coffee_break,ketchup,house_wine,worth,fado,sausage,seafood_rice,local,bifana,polite
milk,spicy,pesto,normal,white_wine,acorda,vegetarian,grill,vegetarian,attentive
cigarette,vegetable,lasagna,portion,green_wine,alheira,nepalese,clam,green,cool
