foursquare_London__United_Kingdom_04,foursquare_London__United_Kingdom_06,foursquare_London__United_Kingdom_08,foursquare_London__United_Kingdom_11,foursquare_London__United_Kingdom_14,foursquare_London__United_Kingdom_20,foursquare_London__United_Kingdom_31,foursquare_London__United_Kingdom_41,foursquare_London__United_Kingdom_44,foursquare_London__United_Kingdom_50
BURGER_FOOD,SERVICE,COFFEE,BREAKFAST,FOOD_OPTIONS,JAPANESE_CUISINE,CAKES,VALUE_FOR_MONEY,BRUNCH,ITALIAN_CUISINE
burger,staff,coffee,breakfast,mexican,sushi,cake,price,brunch,pasta
fry,friendly_staff,coffee_shop,english,turkish,roll,honey_cake,reasonable_price,sunday,authentic_italian
chip,rude,pastry,english_breakfast,vietnamese,japanese,brownie,quality,roast,proper_italian
veggie,helpful,cafe,full_english,chinese,sashimi,carrot_cake,decent,pancake,cafe
byron_burger,lovely_staff,flat,pancake,indian,rice,cake_pastry,fair_price,weekend,tiramisu
bacon,attentive,flat_white,bacon,japanese,tempura,chocolate_brownie,affordable_price,sunday_brunch,wine
burger_joint,kind,arabic_coffee,sausage,thai,miso,corn_cake,average,weekend_brunch,homemade
buffalo,polite,filter_coffee,american,lebanese,katsu,ricotta_cake,quantity,buffet,spaghetti
onion_ring,quick,monmouth,vegetarian,korean,nigiri,velvet_cake,normal,book_table,italian_deli
american,efficient,espresso,toast,greek,authentic_japanese,ricotta_cake,bargain,french_toast,espresso
