tweets_Paris__France_30,tweets_Paris__France_28,foursquare_Paris__France_04,foursquare_Paris__France_08,foursquare_Paris__France_14,foursquare_Paris__France_16,foursquare_Paris__France_17,foursquare_Paris__France_25,foursquare_Paris__France_28,foursquare_Paris__France_29,foursquare_Paris__France_31
DRINKS,FITNESS_WELLBEING,BURGER_FOOD,FOOD_OPTIONS,SERVICE,VALUE_FOR_MONEY,FRENCH_CUISINE,DESSERT,BREAKFAST,LOCATION,BRUNCH
drink,workout,burger,falafel,staff,price,french_fry,dessert,breakfast,view,brunch
wine,fitness,fry,thai,friendly_staff,reasonable_price,french_cuisine,chocolate_mousse,croissant,tower,sunday_brunch
juice,weight,beer,mexican,rude,quality,traditional_french,croissant,egg,beautiful,buffet
beer,workout_fitness,vegan,lebanese,helpful,decent,bistro,cream,bread,terrace,egg
cocktail,exercise,bacon,chinese,kind,fair_price,typical_french,chocolat,buffet,view_eiffel,weekend
milk,diet,veggie_burger,bistro,wait,worth,french_onion,white_chocolate,american_breakfast,city,american
champagne,healthy,american,american,polite,price_high,classic_french,souffle,omelette,gorgeous,juice
glass,weight_loss,french_fry,bagel,speak_english,portion,brasserie,tart,juice,romantic,pancake
alcohol,recipe,cheesy,brasserie,unfriendly,affordable_price,french_toast,caramel,english,louvre,benedict
soda,healthy_recipe,medium,seafood,quick,price_range,modern_french,brulee,baguette,river,bagel
