tweets_Prague__Czech_Republic_17,tweets_Prague__Czech_Republic_24,foursquare_Prague__Czech_Republic_05,foursquare_Prague__Czech_Republic_12,foursquare_Prague__Czech_Republic_15,foursquare_Prague__Czech_Republic_20,foursquare_Prague__Czech_Republic_21,foursquare_Prague__Czech_Republic_24,foursquare_Prague__Czech_Republic_33,foursquare_Prague__Czech_Republic_09
FOOD_OPTIONS,COFFEE,BURGER_FOOD,SERVICE,BREAKFAST,SOUPS,VALUE_FOR_MONEY,CZECH_CUISINE,LOCATION,BEER
food,coffee,burger,staff,breakfast,soup,price,traditional,beautiful_view,pilsner
beer,morning,veggie,friendly,egg,tomato_soup,reasonable_price,czech_cuisine,terrace,staropramen
chinese,starbucks,cheese,rude,brunch,mushroom,quality,traditional_czech,river,dark_beer
healthy,coffee_shop,beef,helpful,english_breakfast,goulash,fair_price,authentic,city,belgian_beer
mexican,breakfast,classic,kind,croissant,chicken,decent,typical_czech,charles,draft
traditional,break,homemade,professional,pancake,spicy,worth,classic,location,kozel
delicious,cup,french_fry,polite,bread,fish,average,modern,view_charles,bernard
gourmet,american,vyborny,attentive,sandwich,pumpkin_soup,portion,kozel,spectacular,tank_beer
indian_food,mcdonalds,domaci,unfriendly,omelette,garlic_soup,affordable_price,staropramen,prague_castle,svijany
japanese,cake,hranolky,owner,crepe,onion_soup,huge_portion,svickova,river_view,urquell
