tweets_Rome__Italy_33,tweets_Rome__Italy_36,tweets_Rome__Italy_39,foursquare_Rome__Italy_02,foursquare_Rome__Italy_07,foursquare_Rome__Italy_08,foursquare_Rome__Italy_16,foursquare_Rome__Italy_17,foursquare_Rome__Italy_19,foursquare_Rome__Italy_20
HEALTH,COFFEE,ORGANIC_FOOD,PIZZA,AMBIENCE,SERVICE,FOOD_OPTIONS,ITALIAN_CUISINE,PASTA,WINE
nutrition,coffee,soil,pizza,place,friendly_staff,dinner,authentic_italian,carbonara,house_wine
diet,coffeeaddict,organic,crust,cozy,kind,drink,real_italian,alla,selection
nutrition_education,tassimo,organic_matter,calzone,cool,helpful,breakfast,traditional_italian,gnocchi,wine_list
healthy,buongiorno_coffeeaddict,soils,margarita,cosy,rude,desert,typical_italian,rich,glass_wine
malnutrition,coffee_shop,soilfertility,mushroom,touristic,polite,brunch,modern,amatriciana,white_wine
healthy_diet,coffeetime,balance_soil,mozzarella,small,busy,snack,homemade,unique,wonderful
unhealthy,espresso,nutrient_system,spicy,beautiful,fast,steak,standard,divine,dessert
global_malnutrition,cappuccino,boost_soilfertility,formaggi,authentic,cheerful,formaggi,risotto,ravioli,bottle_wine
superfoods,morning_lungo,soil_nutrient,pizzeria,local,warm,homemade_pasta,classic,spagetti,local
nature_superfoods,ristretto_macchiato,organic_carbon,topping,romantic,funny,aperitivo,mozzarella,mimosa,variety
